Const,Title,Sum
tt0364569,Oldeuboi,9.146598575712144
tt0069704,American Graffiti,8.987536656891496
tt0078841,Being There,8.904070466570467
tt0064276,Easy Rider,8.841269841269842
tt7937168,La trinchera infinita,8.823529411764707
tt0095012,Diabel,8.823529411764707
tt0045251,The Tragedy of Othello: The Moor of Venice,8.823529411764707
tt0171685,Ratcatcher,8.823529411764707
tt0038823,Paisà,8.823529411764707
tt1074638,Skyfall,8.823529411764707
tt0103105,Toto le héros,8.823529411764707
tt0138874,Three Seasons,8.823529411764707
tt0011439,The Mark of Zorro,8.823529411764707
tt0013442,"Nosferatu, eine Symphonie des Grauens",8.582810236600675
tt0093779,The Princess Bride,8.568217874140666
tt0388795,Brokeback Mountain,8.419817476204292
tt0058138,Gertrud,8.388621978189583
tt0103064,Terminator 2: Judgment Day,8.349296670672228
tt0110357,The Lion King,8.335813776551028
tt10603466,The Fever,8.333333333333334
tt0103110,Tous les matins du monde,8.333333333333334
tt0039417,Germania anno zero,8.333333333333334
tt0096908,Beiqíng chéngshì,8.333333333333334
tt4171032,World of Tomorrow,8.333333333333334
tt0034978,Listen to Britain,8.333333333333334
tt0036910,The Chronicle History of King Henry the Fifth with His Battell Fought at Agincourt in France,8.333333333333334
tt0093603,Nayakan,8.333333333333334
tt0210075,Girlfight,8.333333333333334
tt2109248,Transformers: Age of Extinction,8.333333333333334
tt0055816,Bushidô zankoku monogatari,8.333333333333334
tt0103030,Tacones lejanos,8.333333333333334
tt0012763,Tol'able David,8.333333333333334
tt0050109,Albert Schweitzer,8.333333333333334
tt0046911,Les diaboliques,8.333333333333334
tt0986233,Hunger,8.314182226940611
tt0115744,Brassed Off,8.286445012787723
tt0056058,Seppuku,8.253968253968255
tt0435761,Toy Story 3,8.237747653806048
tt0051792,Jalsaghar,8.231707317073171
tt7282468,Beoning,8.18840579710145
tt0047892,Bob le flambeur,8.125
tt0059646,Repulsion,8.064903846153847
tt0910970,WALL·E,8.048085394000339
tt0060665,A Man for All Seasons,7.964690922441816
tt0816692,Interstellar,7.950310559006211
tt0058450,Les parapluies de Cherbourg,7.9411764705882355
tt0105032,Les nuits fauves,7.894736842105263
tt0052389,White Wilderness,7.894736842105263
tt0014972,He Who Gets Slapped,7.894736842105263
tt0084710,Der Spiegel,7.894736842105263
tt0166175,East Is East,7.894736842105263
tt0247199,The Believer,7.894736842105263
tt0045935,Jigokumon,7.894736842105263
tt7523180,Før frosten,7.894736842105263
tt0039545,Lady in the Lake,7.894736842105263
tt0056119,La jetée,7.820290792829139
tt0383574,Pirates of the Caribbean: Dead Man's Chest,7.815789473684211
tt0058604,Soy Cuba,7.786654135338345
tt0048021,Du rififi chez les hommes,7.7853025527444135
tt0112471,Before Sunrise,7.782665712923223
tt0120863,The Thin Red Line,7.762143146305775
tt2096673,Inside Out,7.723036311862153
tt0020530,Un chien andalou,7.721827896268156
tt0310793,Bowling for Columbine,7.700892857142857
tt0065777,Il giardino dei Finzi Contini,7.648351648351648
tt0097123,Crimes and Misdemeanors,7.640621415423418
tt0101414,Beauty and the Beast,7.604569396587565
tt0045274,Umberto D.,7.581971438882301
tt7016254,Synonymes,7.530602309083322
tt3409392,Timbuktu,7.5046904315197
tt0053268,Serengeti darf nicht sterben,7.5
tt0030522,Olympia 1. Teil - Fest der Völker,7.5
tt0275083,Musa,7.5
tt0014945,Girl Shy,7.5
tt0295238,Personal Velocity: Three Portraits,7.5
tt0108167,Smoking/No Smoking,7.5
tt7984734,The Lighthouse,7.5
tt0040746,Rope,7.5
tt0058898,"Alphaville, une étrange aventure de Lemmy Caution",7.5
tt0035015,The Magnificent Ambersons,7.399637858785353
tt0047445,Sanshô dayû,7.341015183803581
tt0241527,Harry Potter and the Sorcerer's Stone,7.273706896551724
tt0058777,Zulu,7.2397443152960985
tt0049406,The Killing,7.230392156862745
tt1205489,Gran Torino,7.229143544933018
tt0090798,Caravaggio,7.168458781362007
tt0042436,Les enfants terribles,7.142857142857143
tt0054993,The Horse with the Flying Tail,7.142857142857143
tt0030523,Olympia 2. Teil - Fest der Schönheit,7.142857142857143
tt0305206,American Splendor,7.142857142857143
tt0379557,Touching the Void,7.142857142857143
tt0111019,Les roseaux sauvages,7.142857142857143
tt10199640,Dylda,7.142857142857143
tt0116387,Gallivant,7.142857142857143
